,title,domestic_gross,foreign_gross,year
0,Toy Story 3,415000000.0,Toy Story 3,2010
1,Alice in Wonderland (2010),334200000.0,Alice in Wonderland (2010),2010
2,Harry Potter and the Deathly Hallows Part 1,296000000.0,Harry Potter and the Deathly Hallows Part 1,2010
3,Inception,292600000.0,Inception,2010
4,Shrek Forever After,238700000.0,Shrek Forever After,2010
5,The Twilight Saga: Eclipse,300500000.0,The Twilight Saga: Eclipse,2010
6,Iron Man 2,312400000.0,Iron Man 2,2010
7,Tangled,200800000.0,Tangled,2010
8,Despicable Me,251500000.0,Despicable Me,2010
9,How to Train Your Dragon,217600000.0,How to Train Your Dragon,2010
10,Clash of the Titans (2010),163200000.0,Clash of the Titans (2010),2010
11,The Chronicles of Narnia: The Voyage of the Dawn Treader,104400000.0,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010
12,The King's Speech,135500000.0,The King's Speech,2010
13,Tron Legacy,172100000.0,Tron Legacy,2010
14,The Karate Kid,176600000.0,The Karate Kid,2010
15,Prince of Persia: The Sands of Time,90800000.0,Prince of Persia: The Sands of Time,2010
16,Black Swan,107000000.0,Black Swan,2010
17,Megamind,148400000.0,Megamind,2010
18,Robin Hood,105300000.0,Robin Hood,2010
19,The Last Airbender,131800000.0,The Last Airbender,2010
20,Little Fockers,148400000.0,Little Fockers,2010
21,Resident Evil: Afterlife,60100000.0,Resident Evil: Afterlife,2010
22,Shutter Island,128000000.0,Shutter Island,2010
23,Salt,118300000.0,Salt,2010
24,Sex and the City 2,95300000.0,Sex and the City 2,2010
25,The Tourist,67600000.0,The Tourist,2010
26,The Expendables,103100000.0,The Expendables,2010
27,Grown Ups,162000000.0,Grown Ups,2010
28,Knight & Day,76400000.0,Knight & Day,2010
29,True Grit,171200000.0,True Grit,2010
30,Gulliver's Travels,42800000.0,Gulliver's Travels,2010
31,Percy Jackson & The Olympians: The Lightning Thief,88800000.0,Percy Jackson & The Olympians: The Lightning Thief,2010
32,The Social Network,97000000.0,The Social Network,2010
33,Valentine's Day,110500000.0,Valentine's Day,2010
34,The Sorcerer's Apprentice,63200000.0,The Sorcerer's Apprentice,2010
35,Due Date,100500000.0,Due Date,2010
36,Eat Pray Love,80600000.0,Eat Pray Love,2010
37,Yogi Bear,100200000.0,Yogi Bear,2010
38,Red,90400000.0,Red,2010
39,Paranormal Activity 2,84800000.0,Paranormal Activity 2,2010
40,The A-Team,77200000.0,The A-Team,2010
41,Jackass 3-D,117200000.0,Jackass 3-D,2010
42,The Other Guys,119200000.0,The Other Guys,2010
43,Unstoppable,81600000.0,Unstoppable,2010
44,Step Up 3-D,42400000.0,Step Up 3-D,2010
45,The Book of Eli,94800000.0,The Book of Eli,2010
46,The Town,92200000.0,The Town,2010
47,Date Night,98700000.0,Date Night,2010
48,Legend of the Guardians: The Owls of Ga'Hoole,55700000.0,Legend of the Guardians: The Owls of Ga'Hoole,2010
49,The Wolfman,62000000.0,The Wolfman,2010
50,The Bounty Hunter,67099999.0,The Bounty Hunter,2010
51,Saw 3D,45700000.0,Saw 3D,2010
52,Wall Street: Money Never Sleeps,52500000.0,Wall Street: Money Never Sleeps,2010
53,The Fighter,93600000.0,The Fighter,2010
54,Predators,52000000.0,Predators,2010
55,A Nightmare on Elm Street (2010),63100000.0,A Nightmare on Elm Street (2010),2010
56,Dear John,80000000.0,Dear John,2010
57,Cats & Dogs: The Revenge of Kitty Galore,43600000.0,Cats & Dogs: The Revenge of Kitty Galore,2010
58,Tooth Fairy,60000000.0,Tooth Fairy,2010
59,Life as We Know It,53400000.0,Life as We Know It,2010
60,Hereafter,32700000.0,Hereafter,2010
61,The Girl with the Dragon Tattoo,10100000.0,The Girl with the Dragon Tattoo,2010
62,Love and Other Drugs,32400000.0,Love and Other Drugs,2010
63,Aftershock (Tangshan Dadizhen),63000.0,Aftershock (Tangshan Dadizhen),2010
64,Killers,47100000.0,Killers,2010
65,Kick-Ass,48100000.0,Kick-Ass,2010
66,Green Zone,35100000.0,Green Zone,2010
67,Nanny McPhee Returns,29000000.0,Nanny McPhee Returns,2010
68,Get Him to the Greek,61000000.0,Get Him to the Greek,2010
69,Burlesque,39400000.0,Burlesque,2010
70,The Last Song,63000000.0,The Last Song,2010
71,Dinner for Schmucks,73000000.0,Dinner for Schmucks,2010
72,Marmaduke,33600000.0,Marmaduke,2010
73,Piranha 3D,25000000.0,Piranha 3D,2010
74,Oceans,19400000.0,Oceans,2010
75,Edge of Darkness,43300000.0,Edge of Darkness,2010
76,Vampires Suck,36700000.0,Vampires Suck,2010
77,Letters to Juliet,53000000.0,Letters to Juliet,2010
78,The Back-Up Plan,37500000.0,The Back-Up Plan,2010
79,If You Are the One 2 (Fei Cheng Wu Rao II),427000.0,If You Are the One 2 (Fei Cheng Wu Rao II),2010
80,Diary of a Wimpy Kid,64000000.0,Diary of a Wimpy Kid,2010
81,Easy A,58400000.0,Easy A,2010
82,Hubble 3D,52400000.0,Hubble 3D,2010
83,Takers,57700000.0,Takers,2010
84,Tales from Earthsea,48500.0,Tales from Earthsea,2010
85,Legion (2010),40200000.0,Legion (2010),2010
86,The American,35600000.0,The American,2010
87,The Last Exorcism,41000000.0,The Last Exorcism,2010
88,The Next Three Days,21100000.0,The Next Three Days,2010
89,The Girl Who Played with Fire,7600000.0,The Girl Who Played with Fire,2010
90,Skyline,21400000.0,Skyline,2010
91,Hot Tub Time Machine,50300000.0,Hot Tub Time Machine,2010
92,Devil,33600000.0,Devil,2010
93,127 Hours,18300000.0,127 Hours,2010
