,title,month,year,production_budget,worldwide_gross,domestic_gross,net_prof,net_margin_%
1,(500) Days of Summer,7,2009,7500000.0,34439060.0,,26939060.0,78.22
2,10 Cloverfield Lane,3,2016,5000000.0,108286422.0,72091499.5,103286422.0,95.38
4,10 Things I Hate About You,3,1999,13000000.0,60413950.0,,47413950.0,78.48
5,"10,000 B.C.",3,2008,105000000.0,269065678.0,,164065678.0,60.98
10,12 Monkeys,12,1995,29000000.0,168841459.0,,139841459.0,82.82
12,12 Strong,1,2018,35000000.0,71118378.0,45809856.5,36118378.0,50.79
13,12 Years a Slave,10,2013,20000000.0,181025343.0,56685996.5,161025343.0,88.95
14,127 Hours,11,2010,18000000.0,60217171.0,18317615.0,42217171.0,70.11
15,13 Going On 30,4,2004,37000000.0,97658712.0,,60658712.0,62.11
16,13 Hours: The Secret Soldiers of Benghazi,1,2016,50000000.0,69411370.0,52876609.5,19411370.0,27.97
18,1408,6,2007,22500000.0,131263370.0,,108763370.0,82.86
19,15 Minutes,3,2001,42000000.0,56331864.0,,14331864.0,25.44
20,16 Blocks,3,2006,45000000.0,65595141.0,,20595141.0,31.4
23,17 Again,4,2009,40000000.0,139474906.0,,99474906.0,71.32
25,1941,12,1979,32000000.0,94875000.0,,62875000.0,66.27
27,2 Fast 2 Furious,6,2003,76000000.0,236410607.0,,160410607.0,67.85
28,2 For the Money,10,2005,20000000.0,30491379.0,,10491379.0,34.41
29,2 Guns,8,2013,61000000.0,132493015.0,75606230.0,71493015.0,53.96
30,20 Dates,2,1999,66000.0,602920.0,,536920.0,89.05
31,20 Feet From Stardom,6,2013,1000000.0,5892466.0,,4892466.0,83.03
32,"20,000 Leagues Under the Sea",12,1954,5000000.0,28200000.0,,23200000.0,82.27
33,"20,000 Leagues Under the Sea",12,1916,200000.0,8000000.0,,7800000.0,97.5
34,200 Cigarettes,2,1999,6000000.0,6852450.0,,852450.0,12.44
35,2001: A Space Odyssey,4,1968,10500000.0,71928046.0,,61428046.0,85.4
36,2012,11,2009,200000000.0,757677748.0,,557677748.0,73.6
37,2016: Obamaâs America,7,2012,2500000.0,33349941.0,,30849941.0,92.5
38,2046,8,2005,12000000.0,19287485.0,,7287485.0,37.78
39,21,3,2008,35000000.0,159846429.0,,124846429.0,78.1
40,21 Grams,11,2003,20000000.0,59667625.0,,39667625.0,66.48
41,21 Jump Street,3,2012,42000000.0,202812429.0,138423833.5,160812429.0,79.29
